rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,769796,41,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1;r5=R7","benchmark_awfy_richards_opt",2514
28,106604,1,1,7,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r2,c1)","r1=R2;r2=R6;r3=R3;r4=R5;r5=R4;r6=R7;c1=int:19","benchmark_awfy_richards_opt",9717
29,100667,10,1,8,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | LOAD_REG_INT(r5,c3)","r1=R7;c1=int:6;r2=R8;r3=R1;c2=int:1;r4=R6;r5=R5;c3=int:0","benchmark_awfy_richards_opt",3814
30,99890,4,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@4374;r1=R6;r2=R5;c2=int:0;r3=R8;c3=label@4412","benchmark_awfy_richards_opt",4363
31,98198,11,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | ICOPY_REG_REG(r5,r4)","r1=R6;r2=R9;c1=int:17;r3=R1;c2=int:0;r4=R7;r5=R0","benchmark_awfy_richards_opt",2957
32,98198,11,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R6;r2=R1;c1=int:0;r3=R7;r4=R0","benchmark_awfy_richards_opt",2961
33,93873,59,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R5;r2=R3;r3=R4;r4=R2;c1=int:20","benchmark_awfy_richards_opt",527
34,92655,10,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETATTRS_REG_INT(r1,c3) | IADD_REG_REG_INT(r4,r3,c4)","r1=R9;r2=R13;c1=int:24;r3=R5;c2=int:2;c3=int:6;r4=R10;c4=int:1","benchmark_awfy_richards_opt",3850
35,92655,10,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r4,r1,c3) | LINKATTR1_REG_REG_REG(r5,r3,r4)","r1=R5;r2=R13;c1=int:2;r3=R9;c2=int:6;r4=R10;c3=int:1;r5=R3","benchmark_awfy_richards_opt",3854
36,92655,10,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | UNLINK_REG(r3)","r1=R9;c1=int:6;r2=R10;r3=R5;c2=int:1;r4=R3","benchmark_awfy_richards_opt",3858
37,89037,6,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R60;c1=int:256;r2=R50;r3=R53;r4=R0;r5=R44;c2=func@55688;r6=R49","benchmark_awfy_richards_opt",2331
38,83075,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3) | UNLINK_REG(r3)","r1=R6;r2=R68;c1=int:1;r3=R7;r4=R5;r5=R1","benchmark_awfy_richards_opt",4424
39,83075,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | ICOPY_REG_REG(r5,r4)","r1=R5;c1=int:6;r2=R6;r3=R68;c2=int:1;r4=R7;r5=R1","benchmark_awfy_richards_opt",4421
40,81977,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r3,r4)","r1=R2;r2=R7;r3=R8;c1=label@9751;r4=R9;c2=int:1","benchmark_awfy_richards_opt",9736
41,80553,7,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LOAD_REG_INT(r5,c2) | ICOPY_REG_REG(r3,r5)","r1=R8;r2=R1;c1=int:1;r3=R6;r4=R7;r5=R5;c2=int:0","benchmark_awfy_richards_opt",3817
42,79750,9,1,9,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7;r5=R10;r6=R12;c3=int:22","benchmark_awfy_richards_opt",2518
43,69125,4,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r3,c1) | BRF_ID_REG(c2,r1)","r1=R53;r2=R51;r3=R25;c1=int:0;c2=label@5586","benchmark_awfy_richards_opt",5518
44,68933,9,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r4)","r1=R3;r2=R9;r3=R8;r4=R6","benchmark_awfy_richards_opt",3875
45,66954,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R25;r2=R28;c1=int:27;r3=R22;c2=label@5043","benchmark_awfy_richards_opt",5020
46,65791,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R2;r2=R15;c1=int:22;r3=R1;c2=int:2","benchmark_awfy_richards_opt",9679
47,65790,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R12;r2=R13;r3=R9;r4=R15;c1=int:2","benchmark_awfy_richards_opt",9872
48,65790,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r4,r2)","r1=R9;r2=R15;c1=int:2;r3=R10;c2=int:256;r4=R11","benchmark_awfy_richards_opt",9879
49,65790,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r2,c2)","r1=R1;c1=int:0;r2=R4;r3=R67;r4=R3;r5=R68;r6=R6;c2=int:23","benchmark_awfy_richards_opt",4293
50,65790,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | COPY_REG_REG(r2,r3)","c1=int:1;r1=R1;c2=int:0;r2=R4;r3=R67","benchmark_awfy_richards_opt",4289
51,65790,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R1;c2=int:0","benchmark_awfy_richards_opt",4287
52,65790,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=int:1;r1=R1;c2=int:0;r2=R4;r3=R67;r4=R3;r5=R68","benchmark_awfy_richards_opt",4291
53,65790,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r5,r1,c1)","r1=R15;r2=R11;r3=R9;r4=R12;r5=R13;c1=int:2","benchmark_awfy_richards_opt",9899
54,65790,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5)","r1=R9;r2=R12;r3=R13;r4=R15;c1=int:2;r5=R7","benchmark_awfy_richards_opt",9902
55,65790,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r3,c2)","r1=R13;r2=R9;r3=R15;c1=int:2;r4=R10;c2=int:256","benchmark_awfy_richards_opt",9877
56,65790,1,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LOAD_REG_INT(r5,c1)","r1=R12;r2=R13;r3=R9;r4=R15;c1=int:2;r5=R10","benchmark_awfy_richards_opt",9875
57,61249,5,1,9,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETATTRS_REG_INT(r2,c3) | IADD_REG_REG_INT(r4,r5,c4)","c1=label@4193;r1=R17;r2=R19;r3=R13;c2=int:20;c3=int:6;r4=R20;r5=R10;c4=int:1","benchmark_awfy_richards_opt",4085
58,59825,3,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R25;r2=R53;r3=R51;c1=int:0","benchmark_awfy_richards_opt",5515
59,58123,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R14;r2=R15;r3=R16;r4=R17;c1=int:0","benchmark_awfy_richards_opt",4073
60,53463,2,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R35;r2=R68;c1=int:2;c2=label@5318;c3=int:3;c4=label@6038","benchmark_awfy_richards_opt",5307
61,51136,2,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@6038;r1=R35;r2=R41;r3=R67;r4=R32;r5=R68;r6=R31;r7=R1","benchmark_awfy_richards_opt",5318
62,47877,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2) | BR_ID(c2)","r1=R7;r2=R9;c1=int:1;r3=R8;c2=label@4412","benchmark_awfy_richards_opt",4402
63,47877,2,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1)","r1=R9;r2=R7;c1=int:1;r3=R8","benchmark_awfy_richards_opt",4400
64,47789,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | BR_ID(c1)","r1=R49;r2=R52;r3=R51;c1=label@5971","benchmark_awfy_richards_opt",5840
65,46504,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R34;r2=R33;r3=R32;r4=R31","benchmark_awfy_richards_opt",6024
66,46498,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R10;r2=R9;r3=R7;r4=R25","benchmark_awfy_richards_opt",4273
67,46496,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2) | UNLINK_REG(r3)","r1=R16;r2=R10;c1=int:1;r3=R14;r4=R15;r5=R17;c2=int:0","benchmark_awfy_richards_opt",4069
68,46496,2,1,8,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | IEQ_REG_REG_INT(r5,r4,c3)","r1=R15;c1=int:6;r2=R16;r3=R10;c2=int:1;r4=R14;r5=R17;c3=int:0","benchmark_awfy_richards_opt",4066
69,45687,3,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | LOAD_REG_INT(r5,c2)","r1=R6;r2=R9;c1=int:17;r3=R10;c2=int:0;r4=R5;r5=R7","benchmark_awfy_richards_opt",2926
70,45687,3,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r3,r4)","r1=R6;r2=R10;c1=int:0;r3=R5;r4=R7","benchmark_awfy_richards_opt",2930
71,44175,7,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r1)","r1=R9;r2=R5;r3=R3","benchmark_awfy_richards_opt",4466
72,44175,7,1,9,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | MINATTRS_REG_REG_INT(r4,r6,c2) | LINKATTR1_REG_REG_REG(r7,r4,r6)","r1=R9;r2=R6;r3=R7;r4=R3;r5=R67;c1=int:17;r6=R1;c2=int:0;r7=R5","benchmark_awfy_richards_opt",4450
73,43505,12,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R10;r2=R8;r3=R9;r4=R14","benchmark_awfy_richards_opt",2553
74,42540,2,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R5;r2=R6;c1=label@4338;r3=R8;r4=R9;c2=int:0","benchmark_awfy_richards_opt",4323
75,41859,10,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | ICOPY_REG_REG(r3,r1)","r1=R13;r2=R12;c1=int:1;r3=R5;r4=R11;c2=int:9","benchmark_awfy_richards_opt",640
76,41859,10,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1;r4=R5","benchmark_awfy_richards_opt",636
77,41163,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3) | LOAD_REG_INT(r5,c3)","r1=R8;r2=R5;c1=int:1;r3=R9;r4=R7;c2=label@9781;r5=R2;c3=int:0","benchmark_awfy_richards_opt",9762
78,40814,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | SETATTRS_REG_INT(r2,c4)","c1=label@9864;r1=R8;r2=R10;r3=R15;c2=int:21;r4=R5;c3=int:2;c4=int:6","benchmark_awfy_richards_opt",9825
79,40814,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R5;c1=label@9864;r2=R8;r3=R10;r4=R15;c2=int:21;c3=int:2","benchmark_awfy_richards_opt",9823
80,40814,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3) | LOAD_REG_INT(r5,c1)","r1=R8;r2=R5;c1=int:1;r3=R2;r4=R7;c2=label@9751;r5=R9","benchmark_awfy_richards_opt",9732
81,40814,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r5,r6,c2)","r1=R11;r2=R5;c1=int:1;r3=R2;r4=R10;r5=R7;r6=R15;c2=int:2","benchmark_awfy_richards_opt",9839
82,40814,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R7;r2=R2;r3=R10","benchmark_awfy_richards_opt",9853
83,40814,1,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r4) | LINKATTR1_REG_REG_INT(r5,r6,c1) | ICOPY_REG_REG(r5,r1)","r1=R2;r2=R10;r3=R11;r4=R5;r5=R7;r6=R15;c1=int:2","benchmark_awfy_richards_opt",9843
84,34875,3,1,10,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2) | MINATTRS_REG_REG_INT(r5,r7,c3)","r1=R7;r2=R68;c1=int:1;r3=R9;r4=R6;r5=R3;r6=R67;c2=int:17;r7=R1;c3=int:0","benchmark_awfy_richards_opt",4446
85,34873,4,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2) | SETATTRS_REG_INT(r5,c3)","r1=R19;r2=R10;c1=int:1;r3=R20;r4=R18;r5=R14;r6=R13;c2=int:24;c3=int:6","benchmark_awfy_richards_opt",4142
86,34873,6,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | LINKATTR1_REG_REG_INT(r5,r2,c3)","r1=R9;r2=R27;c1=int:15;r3=R28;c2=int:0;r4=R10;r5=R7;c3=int:1","benchmark_awfy_richards_opt",4013
87,34873,4,1,10,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | SETATTRS_REG_INT(r4,c2) | IADD_REG_REG_INT(r6,r7,c3)","r1=R20;r2=R18;r3=R19;r4=R14;r5=R13;c1=int:24;c2=int:6;r6=R15;r7=R9;c3=int:1","benchmark_awfy_richards_opt",4146
88,33706,4,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R10;r2=R27;c1=int:18;r3=R7;r4=R9;c2=int:17","benchmark_awfy_richards_opt",3982
