rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,930899,156,8,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R11;r2=R10;r3=R9","benchmark_rexxcps_levelb_opt",509
36,86800,7,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | ILTE_REG_REG_INT(r4,r1,c2)","r1=R45;r2=R35;r3=R44;c1=string@28800;r4=R47;c2=int:0","parseExec",390
37,86800,7,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R44;c1=string@28800;r2=R47;r3=R45;c2=int:0;c3=label@408","parseExec",393
38,81200,4,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c2,r3)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R35;r5=R40;c2=label@335","parseExec",321
39,81200,4,1,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | STRLEN_REG_REG(r1,r2)","r1=R40;r2=R39;r3=R126","parseExec",156
40,81200,4,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | STRLEN_REG_REG(r3,r1) | IEQ_REG_REG_REG(r4,r5,r3)","r1=R39;r2=R126;r3=R40;r4=R43;r5=R19","parseExec",158
41,81200,4,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R40;r2=R39;r3=R43;r4=R19;c1=label@179","parseExec",161
42,74200,1,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | STRCHAR_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R114;r2=R112;c1=int:1;r3=R115;r4=R119;r5=R108;c2=int:32","parseExec",4681
43,64400,4,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3)","c1=label@762;r1=R47;r2=R46;r3=R45","parseExec",511
44,61823,7,3,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R22;c1=int:0;r2=R21;c2=label@15703","_address",15695
45,61602,5,2,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r4,r1) | BRF_ID_REG(c1,r1)","r1=R60;r2=R7;r3=R39;r4=R31;c1=label@1173","_typedformat",1159
46,61601,5,2,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@146;r1=R13;r2=R22;r3=R8;c2=label@151","verify",139
47,61600,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_INT(r3,r4,c3)","c1=label@5509;r1=R5;r2=R12;c2=int:1;r3=R56;r4=R128;c3=int:9","parseExec",2166
48,61600,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | IADD_REG_REG_REG(r4,r4,r5)","r1=R46;r2=R7;r3=R47;r4=R19;r5=R35","parseExec",426
49,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ICOPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c2)","r1=R19;c1=int:1;r2=R37;r3=R35;c2=int:0","parseExec",274
50,61600,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R12;c1=int:1;r2=R56;r3=R128;c2=int:9;c3=label@2218","parseExec",2169
51,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_INT(r2,r3,c1) | BRT_ID_REG(c2,r2)","r1=R19;c1=int:1;r2=R47;r3=R6;c2=label@474","parseExec",459
52,61600,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_REG(r2,r4,r2)","r1=R19;c1=int:1;r2=R44;r3=R40;r4=R35","parseExec",366
53,61600,4,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | IGTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R19;r2=R35;r3=R47;r4=R40;c1=label@445","parseExec",431
54,61600,4,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1)","r1=R46;r2=R19;r3=R45;r4=R35;r5=R44;c1=string@28800","parseExec",387
55,61600,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R16;r2=R1;r3=R17;r4=R2;c1=label@5504;r5=R5","parseExec",4841
56,61600,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R6;r2=R16;r3=R7;r4=R17;r5=R15;r6=R0","parseExec",4832
57,61600,4,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_REG(r1,r2,r3)","r1=R44;r2=R19;c1=int:0;c2=label@190;r3=R40","parseExec",179
58,61600,4,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r4,r3,r1)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R6;c2=int:10","parseExec",239
59,61600,4,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R38;r2=R7;r3=R47;r4=R6;c1=int:1;c2=label@494","parseExec",480
60,60774,66,5,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R47;c1=int:3;r2=R4;c2=int:256;r3=R48","benchmark_rexxcps_levelb_opt",691
61,58922,6,3,6,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3)","c1=label@13965;r1=R26;r2=R42;r3=R29;c2=int:0;r4=R18","_address",13937
62,58922,6,3,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r4,r2,c2)","r1=R26;r2=R29;r3=R27;c1=label@13965;r4=R42;c2=int:0","_address",13933
63,52353,7,2,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R10;r2=R16;c1=int:3;r3=R14;c2=int:0;r4=R17","_address",8084
64,51800,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | BR_ID(c1)","r1=R104;r2=R0;r3=R89;c1=label@2166","parseExec",5497
65,51800,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | NULL_REG(r4)","r1=R17;r2=R2;c1=label@5504;r3=R5;r4=R110","parseExec",4844
66,51800,3,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r3,r4) | IGTE_REG_REG_REG(r5,r3,r6)","r1=R17;r2=R45;r3=R19;r4=R54;r5=R49;r6=R50","parseExec",1083
67,49485,4,3,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R20;r2=R9;c1=int:76;c2=label@211;c3=int:66","strip",200
68,49122,5,2,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | REQ_REG_REG_REG(r4,r1,r5) | UNLINK_REG(r1)","r1=R18;r2=R42;r3=R29;r4=R17;r5=R19","_address",13944
69,49122,5,2,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | REQ_REG_REG_REG(r4,r3,r5)","r1=R42;r2=R29;c1=int:0;r3=R18;r4=R17;r5=R19","_address",13940
70,49122,5,2,4,over_3_symbols,"REQ_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1)","r1=R17;r2=R18;r3=R19;c1=label@13962","_address",13948
71,47658,57,3,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c2)","r1=R4;c1=int:256;r2=R48;r3=R49;c2=int:768","benchmark_rexxcps_levelb_opt",694
72,44068,5,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","c1=label@344;r1=R13;r2=R11;r3=R20;c2=int:5;r4=R1;c3=int:0","stem",248
73,42200,6,2,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R29;r2=R0;r3=R15;r4=R3;r5=R24","trace",16741
74,42000,4,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@601;r1=R56;r2=R45;c2=int:48;c3=label@606","parseExec",594
75,42000,4,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r3,c3)","r1=R56;r2=R44;c1=int:0;c2=label@601;r3=R45;c3=int:48","parseExec",590
76,40600,5,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | MINATTRS_REG_REG_INT(r2,r1,c2) | LINKATTR1_REG_REG_REG(r3,r2,r1)","r1=R21;c1=int:1;r2=R22;c2=int:0;r3=R83","parseExec",3382
77,39092,6,3,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R17;r2=R10;r3=R14;r4=R15","_address",8092
78,39092,6,3,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R10;r2=R14;c1=int:0;r3=R17;r4=R15","_address",8088
79,38145,10,8,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@8947;r1=R84;c3=int:256","_address",8933
80,36400,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R116;r2=R113;r3=R110;r4=R118;c1=label@4655","parseExec",4622
81,35000,25,2,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R77;r2=R78;c1=int:1;r3=R43","benchmark_rexxcps_levelb_opt",1602
82,31286,4,3,6,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@37;r1=R15;c2=int:256;r2=R1;c3=string@312160;c4=int:0","left",25
83,31286,4,3,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2) | BR_ID(c3)","r1=R1;c1=string@312160;c2=int:0;c3=label@52","left",29
84,30942,31,3,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R48;r2=R4;r3=R49;c1=int:768;r4=R64","benchmark_rexxcps_levelb_opt",697
85,30816,2,2,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R21;c1=int:1;r2=R20;r3=R25;c2=label@6515","trace",6477
86,30801,4,2,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BR_ID(c3)","c1=label@119;r1=R13;r2=R11;c2=int:0;c3=label@122","verify",111
87,30800,3,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@511;r1=R47;r2=R6;c2=int:5;c3=label@762","parseExec",504
88,30800,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@3375;r1=R56;r2=R55;r3=R18;c2=string@28800;c3=label@2458","parseExec",2222
89,30800,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | SCOPY_REG_REG(r3,r4)","r1=R55;r2=R21;c1=int:0;r3=R18;r4=R7","parseExec",3362
90,30800,4,1,4,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2) | MINATTRS_REG_REG_INT(r2,r1,c1)","r1=R110;r2=R24;c1=int:0;c2=int:1","parseExec",4544
91,30800,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RNE_REG_REG_STRING(r3,r4,c3)","r1=R56;r2=R6;c1=int:1;c2=label@3375;r3=R55;r4=R18;c3=string@28800","parseExec",2218
92,30800,3,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3)","r1=R47;r2=R6;c1=int:3;c2=label@511;c3=int:5","parseExec",500
93,30800,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R21;c1=int:0;r2=R18;r3=R7;r4=R4;r5=R8","parseExec",3364
94,30800,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R18;r2=R7;r3=R4;r4=R8;c1=label@4829","parseExec",3367
95,30603,6,4,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3)","r1=R59;r2=R21;c1=int:1;r3=R58;r4=R60;c2=label@1316","_typedformat",1209
96,30602,5,3,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ISUB_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2)","r1=R60;c1=int:0;r2=R59;r3=R21;c2=int:1;r4=R58","_typedformat",1206
97,29200,3,2,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R82;r2=R22;r3=R55;r4=R38","parseExec",3097
98,28883,3,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R12;r2=R11;c1=label@323;r3=R10","stem",267
99,28485,3,2,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@211;r1=R20;r2=R9;c2=int:66;c3=label@227","strip",204
100,28000,20,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | SCOPY_REG_REG(r3,r2)","r1=R78;c1=int:1;r2=R77;r3=R43","benchmark_rexxcps_levelb_opt",1599
101,26184,3,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R11;c1=label@323;r2=R10;r3=R14;r4=R20;c2=int:9","stem",269
102,25446,5,5,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@15;r1=R62;c2=int:512;r2=R28;c3=label@18","_typedformat",6
103,25446,5,5,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | SCOPY_REG_REG(r2,r1)","c1=int:2;c2=label@15;r1=R62;c3=int:512;r2=R28","_typedformat",4
104,25401,6,3,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4)","r1=R10;r2=R13;r3=R3;r4=R12","_address",8045
105,25200,3,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c2)","r1=R105;r2=R109;c1=int:1;r3=R106;r4=R110;r5=R108;c2=string@28800","parseExec",4488
106,25200,3,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r5,r6)","r1=R107;r2=R111;r3=R105;r4=R109;c1=int:1;r5=R106;r6=R110","parseExec",4485
107,23630,16,3,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R16;c1=int:18;c2=int:0","_address",5829
108,22637,18,4,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","_address",5763
109,22607,7,4,3,candidate,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2)","c1=int:2;r1=R25;r2=R26","benchmark_rexxcps_levelb_opt",8
110,22544,27,3,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R59;c1=int:768;r2=R60;r3=R55;c2=func@40696;r4=R57","benchmark_rexxcps_levelb_opt",1236
111,21200,2,2,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R3;r2=R24;r3=R18;c1=string@312160;r4=R16;c2=int:0","trace",16746
112,21000,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1)","c1=label@3832;r1=R91;r2=R6;c2=int:4;c3=label@3843","parseExec",3825
113,21000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R4;c1=int:0;r2=R5;r3=R15;r4=R6;r5=R16","parseExec",4826
114,21000,1,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r4)","r1=R18;c1=string@28800;r2=R4;c2=int:0;r3=R5;r4=R15","parseExec",4823
115,20018,6,3,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R34;c1=string@28800;r2=R12;c2=int:0;r3=R31","_typedformat",200
