rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
92,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R4;c1=int:1;c2=label@39;r2=R5;r3=R0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",23
93,1,1,1,2,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2)","r1=R2;r2=R10","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",131
94,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R1;r2=R10;c1=string@8344;c2=string@8496","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",121
95,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",16
96,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@119","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",61
97,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",58
98,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R5;r2=R0;c1=int:1;r3=R1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",30
99,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1)","c1=int:18;c2=int:1;c3=label@13;r1=R12;c4=int:512;r2=R0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",0
100,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;c1=string@8904;c2=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",136
101,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2)","r1=R10;c1=string@8496;r2=R2","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",127
102,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r1-relink/list.rxas",34
