rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R10;r2=R29;r3=R2;c1=label@1265;r4=R24;r5=R41;r6=R9;c2=int:32","rxjson",1202
12,655000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R4;r2=R99;r3=R15;r4=R97;r5=R14;c1=int:34;c2=label@10063","rxjson",9317
13,655000,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=int:18;c2=int:1;r1=R21;r2=R97;r3=R13;r4=R99;r5=R98;c3=label@9308","rxjson",9238
14,655000,4,1,20,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14) | SWAPCALL_REG_FUNC_REG_REG_REG(r15,c2,r16,r17,r18)","r1=R3;c1=int:256;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R34;r10=R10;r11=R35;r12=R11;r13=R36;r14=R12;r15=R38;c2=func@2278848;r16=R24;r17=R13;r18=R37","rxjson",1001
15,630000,3,1,6,candidate,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@9352;r1=R0;r2=R3;r3=R99;c2=int:34;c3=label@9363","rxjson",9341
16,630000,3,1,6,candidate,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | INE_REG_REG_INT(r1,r1,c2)","r1=R0;r2=R99;r3=R98;c1=label@9352;r4=R3;c2=int:34","rxjson",9337
17,610000,2,1,21,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c2,r13,r14,r15) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r16,c2,r17,r18,r19)","r1=R68;c1=int:13;r2=R57;c2=int:256;r3=R69;r4=R70;r5=R98;r6=R71;r7=R99;r8=R72;r9=R52;r10=R73;r11=R101;r12=R54;r13=R74;r14=R53;r15=R75;r16=R55;r17=R76;r18=R56;r19=R77","rxjson",10392
18,610000,2,1,23,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c1,r10,r11,r12) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r13,c1,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22)","r1=R70;r2=R98;r3=R71;r4=R99;r5=R72;r6=R52;r7=R73;r8=R101;r9=R54;c1=int:256;r10=R74;r11=R53;r12=R75;r13=R55;r14=R76;r15=R56;r16=R77;r17=R78;r18=R106;r19=R79;r20=R107;r21=R80;r22=R108","rxjson",10398
19,610000,2,1,26,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22,r23,r24) | SWAP_REG_REG(r25,r26)","r1=R57;r2=R69;r3=R98;r4=R70;r5=R99;r6=R71;r7=R52;r8=R72;r9=R101;r10=R73;r11=R54;r12=R74;r13=R53;r14=R75;r15=R55;r16=R76;r17=R56;r18=R77;r19=R106;r20=R78;r21=R107;r22=R79;r23=R108;r24=R80;r25=R109;r26=R81","rxjson",10432
20,610000,2,1,20,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAP_REG_REG(r17,r18) | IEQ_REG_REG_INT(r18,r19,c1)","r1=R101;r2=R73;r3=R54;r4=R74;r5=R53;r6=R75;r7=R55;r8=R76;r9=R56;r10=R77;r11=R106;r12=R78;r13=R107;r14=R79;r15=R108;r16=R80;r17=R109;r18=R81;r19=R48;c1=int:0","rxjson",10441
21,610000,2,1,13,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAP_REG_REG(r9,r10) | IEQ_REG_REG_INT(r10,r11,c1) | BRF_ID_REG(c2,r10)","r1=R56;r2=R77;r3=R106;r4=R78;r5=R107;r6=R79;r7=R108;r8=R80;r9=R109;r10=R81;r11=R48;c1=int:0;c2=label@10474","rxjson",10450
22,500000,4,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r1,r5) | BRF_ID_REG(c2,r4)","r1=R29;c1=int:1;r2=R59;r3=R34;r4=R52;r5=R2;c2=label@1306","rxjson",1483
23,480000,3,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | IADD_REG_REG_INT(r3,r3,c3)","r1=R25;r2=R3;r3=R99;r4=R26;c1=int:34;c2=label@9400;c3=int:1","rxjson",9377
24,480000,2,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c2,r4)","r1=R37;c1=int:1;r2=R57;r3=R34;r4=R55;r5=R29;r6=R2;c2=label@1465","rxjson",1395
25,460000,2,1,6,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | LOAD_REG_INT(r3,c2) | ICOPY_REG_REG(r4,r3)","c1=label@9400;r1=R26;r2=R99;c2=int:1;r3=R27;r4=R41","rxjson",9385
26,460000,2,1,6,candidate,"COPY_REG_REG(r1,r2) | IGTE_REG_REG_REG(r3,r4,r5) | BRT_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r1,r4)","r1=R3;r2=R97;r3=R0;r4=R99;r5=R98;c1=label@9352","rxjson",9334
27,460000,2,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2) | BR_ID(c2)","r1=R99;c1=int:1;r2=R27;r3=R41;c2=label@10024","rxjson",9388
28,460000,2,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c3,r3)","r1=R99;c1=int:1;r2=R13;c2=int:0;r3=R0;r4=R98;c3=label@10016","rxjson",9363
29,460000,2,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | LOAD_REG_INT(r4,c3)","r1=R26;r2=R25;c1=int:34;c2=label@9400;r3=R99;c3=int:1;r4=R27","rxjson",9381
30,460000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | IGTE_REG_REG_REG(r4,r5,r6) | BRT_ID_REG(c2,r4)","r1=R13;c1=int:0;r2=R3;r3=R97;r4=R0;r5=R99;r6=R98;c2=label@9352","rxjson",9331
31,460000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r5,r6,r3)","r1=R13;c1=int:0;r2=R0;r3=R99;r4=R98;c2=label@10016;r5=R25;r6=R3","rxjson",9367
32,440000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","c1=label@10697;r1=R51;r2=R52;c2=int:-1;r3=R48;r4=R100;c3=int:0;c4=label@10323","rxjson",10306
33,440000,1,1,9,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | IGTE_REG_REG_INT(r5,r6,c3)","r1=R51;r2=R99;r3=R98;c1=label@10697;r4=R52;c2=int:-1;r5=R48;r6=R100;c3=int:0","rxjson",10302
34,420000,3,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | COPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r2,r6)","c1=label@1559;r1=R56;r2=R29;c2=int:1;r3=R59;r4=R34;r5=R52;r6=R2","rxjson",1480
35,420000,3,1,7,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | COPY_REG_REG(r3,r4)","r1=R56;c1=int:44;c2=label@1559;r2=R29;c3=int:1;r3=R59;r4=R34","rxjson",1476
36,305000,5,1,4,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R6;r2=R4;r3=R3;r4=R0","rxjson",1163
37,290000,1,1,8,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | LOAD_REG_INT(r5,c3)","r1=R15;r2=R97;r3=R99;r4=R14;c1=int:34;c2=label@10063;r5=R13;c3=int:0","rxjson",9320
38,290000,1,1,9,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | COPY_REG_REG(r3,r4) | IGTE_REG_REG_REG(r5,r6,r7)","c1=label@10063;r1=R14;r2=R13;c2=int:0;r3=R3;r4=R97;r5=R0;r6=R99;r7=R98","rxjson",9328
39,290000,2,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R57;r2=R97;r3=R54;r4=R102;r5=R53;r6=R103;r7=R55;r8=R104","rxjson",10155
40,290000,1,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | COPY_REG_REG(r4,r5)","r1=R14;r2=R15;c1=int:34;c2=label@10063;r3=R13;c3=int:0;r4=R3;r5=R97","rxjson",9324
41,225000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=label@10687;r1=R81;r2=R99;c2=int:1;r3=R80;r4=R100;r5=R101;c3=label@10667","rxjson",10649
42,225000,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IEQ_REG_REG_REG(r3,r4,r5)","r1=R81;c1=int:93;c2=label@10687;r2=R99;c3=int:1;r3=R80;r4=R100;r5=R101","rxjson",10645
43,205000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@11204;r1=R71;r2=R77;r3=R74;r4=R99;r5=R70;c2=int:48;c3=label@11183","rxjson",11165
44,205000,1,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | ILT_REG_REG_INT(r6,r4,c2)","r1=R71;r2=R99;r3=R98;c1=label@11204;r4=R77;r5=R74;r6=R70;c2=int:48","rxjson",11161
45,170000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | COPY_REG_REG(r5,r6)","c1=label@12939;r1=R0;r2=R3;r3=R77;r4=R12;c2=int:0;r5=R23;r6=R75","rxjson",11603
46,170000,1,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R77;c1=int:1;r2=R13;c2=int:-1;r3=R46;r4=R79;c3=int:0;c4=label@12420","rxjson",12402
47,170000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r2,r6) | BRF_ID_REG(c1,r5)","r1=R4;r2=R77;r3=R47;r4=R75;r5=R43;r6=R76;c1=label@12382","rxjson",12313
48,170000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | COPY_REG_REG(r4,r5) | IGTE_REG_REG_REG(r6,r2,r7)","r1=R3;r2=R77;r3=R12;c1=int:0;r4=R23;r5=R75;r6=R26;r7=R76","rxjson",11606
49,170000,1,1,7,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r4,r2) | LOAD_REG_INT(r5,c2)","r1=R0;r2=R77;r3=R76;c1=label@12939;r4=R3;r5=R12;c2=int:0","rxjson",11599
50,150000,1,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IGT_REG_REG_INT(r4,r1,c3)","r1=R77;r2=R74;r3=R99;r4=R70;c1=int:48;c2=label@11183;c3=int:57","rxjson",11168
51,150000,2,1,4,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R27;r2=R26;r3=R25;r4=R56","rxjson",1568
52,150000,1,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R70;r2=R77;c1=int:48;c2=label@11183;c3=int:57;c4=label@11188","rxjson",11172
53,150000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | LOAD_REG_INT(r5,c3)","r1=R32;c1=int:0;r2=R24;r3=R29;r4=R13;c2=label@1559;r5=R47;c3=int:-1","rxjson",1303
54,145000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5) | COPY_REG_REG(r6,r7)","c1=label@10717;r1=R59;r2=R57;r3=R97;r4=R54;r5=R102;r6=R53;r7=R103","rxjson",10152
55,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | IADD_REG_REG_INT(r7,r7,c1)","r1=R53;r2=R103;r3=R55;r4=R104;r5=R56;r6=R105;r7=R99;c1=int:1","rxjson",10161
56,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r5,c1) | COPY_REG_REG(r6,r7)","r1=R55;r2=R104;r3=R56;r4=R105;r5=R99;c1=int:1;r6=R65;r7=R57","rxjson",10164
57,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r3,c1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R56;r2=R105;r3=R99;c1=int:1;r4=R65;r5=R57;r6=R66;r7=R98","rxjson",10167
58,145000,1,1,7,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r3) | BRF_ID_REG(c1,r5)","r1=R65;r2=R57;r3=R66;r4=R98;r5=R51;r6=R99;c1=label@10243","rxjson",10174
59,145000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r1,r4)","r1=R99;c1=int:1;r2=R65;r3=R57;r4=R66;r5=R98;r6=R51","rxjson",10170
60,145000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r5,r6,r4)","r1=R66;r2=R98;r3=R51;r4=R99;c1=label@10243;r5=R52;r6=R65","rxjson",10177
61,145000,1,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R59;r2=R15;c1=int:91;c2=label@10717;r3=R57;r4=R97;r5=R54;r6=R102","rxjson",10148
62,105000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c2,r4)","c1=label@11473;r1=R80;r2=R74;r3=R97;r4=R73;r5=R99;r6=R98;c2=label@11107","rxjson",11086
63,105000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r1,r4)","r1=R74;r2=R97;r3=R73;r4=R99;r5=R98;c1=label@11107","rxjson",11089
64,105000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R72;r2=R77;c1=int:69;c2=label@11319;c3=int:101;c4=label@11429","rxjson",11308
65,95000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c3,r3)","c1=label@11083;r1=R81;r2=R15;c2=int:57;r3=R80;c3=label@11473","rxjson",11076
66,95000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | ILTE_REG_REG_INT(r2,r3,c4)","c1=label@11086;r1=R80;r2=R81;r3=R15;c2=int:48;c3=label@11083;c4=int:57","rxjson",11069
67,95000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | COPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r7)","r1=R80;r2=R81;c1=label@11473;r3=R74;r4=R97;r5=R73;r6=R99;r7=R98","rxjson",11083
68,95000,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGTE_REG_REG_INT(r3,r2,c3) | BRF_ID_REG(c4,r3)","r1=R80;r2=R15;c1=int:45;c2=label@11086;r3=R81;c3=int:48;c4=label@11083","rxjson",11065
69,95000,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | ICOPY_REG_REG(r3,r1)","r1=R81;r2=R15;c1=int:48;c2=label@11083;c3=int:57;r3=R80","rxjson",11072
70,95000,1,1,7,candidate,"ILTE_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | COPY_REG_REG(r4,r5)","r1=R81;r2=R15;c1=int:57;r3=R80;c2=label@11473;r4=R74;r5=R97","rxjson",11079
71,85000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | ILT_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c3,r3)","c1=label@11196;r1=R72;r2=R99;c2=int:1;r3=R71;r4=R98;c3=label@11204","rxjson",11154
72,85000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | IADD_REG_REG_INT(r3,r3,c4)","c1=label@11154;r1=R72;r2=R77;c2=int:57;c3=label@11196;r3=R99;c4=int:1","rxjson",11147
73,85000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r4,r5,r1)","r1=R99;c1=int:1;r2=R71;r3=R98;c2=label@11204;r4=R77;r5=R74","rxjson",11157
74,85000,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R72;r2=R77;c1=int:49;c2=label@11154;c3=int:57;c4=label@11196","rxjson",11143
75,85000,1,1,8,candidate,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | ILT_REG_REG_REG(r4,r3,r5)","r1=R72;r2=R77;c1=int:57;c2=label@11196;r3=R99;c3=int:1;r4=R71;r5=R98","rxjson",11150
76,80000,1,1,19,candidate,"BRF_ID_REG(c1,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r5,r6,r7,r8,r9,r10,r11,r12) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r13,r14,r15,c3,r16)","c1=label@10148;r1=R44;r2=R45;c2=int:14;r3=R97;c3=int:256;r4=R46;r5=R47;r6=R98;r7=R48;r8=R99;r9=R49;r10=R4;r11=R50;r12=R100;r13=R51;r14=R101;r15=R102;r16=R52","rxjson",10067
77,80000,1,1,17,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c3,r4,c4,r5) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r6,r7,r8,r9,r10,r11,r12,r13)","r1=R44;r2=R15;c1=int:123;c2=label@10148;r3=R45;c3=int:14;r4=R97;c4=int:256;r5=R46;r6=R47;r7=R98;r8=R48;r9=R99;r10=R49;r11=R4;r12=R50;r13=R100","rxjson",10063
78,80000,1,1,21,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r12,r13,r14,c2,r15) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r16,c2,r17,r18,r19)","r1=R45;c1=int:14;r2=R97;c2=int:256;r3=R46;r4=R47;r5=R98;r6=R48;r7=R99;r8=R49;r9=R4;r10=R50;r11=R100;r12=R51;r13=R101;r14=R102;r15=R52;r16=R103;r17=R53;r18=R104;r19=R54","rxjson",10070
79,80000,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IADD_REG_REG_INT(r1,r1,c2) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r1,r5)","c1=int:18;c2=int:1;r1=R77;r2=R21;r3=R75;r4=R12;r5=R76","rxjson",11475
80,80000,1,1,18,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAP_REG_INT_REG(r5,c1,r6) | SWAPN_REG_REG_REG_REG_REG_REG(r7,r8,r9,r10,r11,r12) | SWAPCALL_REG_FUNC_REG_REG_REG(r13,c2,r14,r15,r16)","r1=R103;c1=int:256;r2=R53;r3=R104;r4=R54;r5=R105;r6=R55;r7=R56;r8=R106;r9=R57;r10=R107;r11=R58;r12=R108;r13=R41;c2=func@2278912;r14=R45;r15=R109;r16=R59","rxjson",10091
